I0A2H-0001,11D1237H01A              ,06 ,12.00000,2011-06-23 11:06:00.000,40,35     ,2011-06-23 13:04:00.000,2011-06-23 13:22:00.000
I0A2H-0001,11D1237H01A              ,06 ,12.00000,2011-06-23 11:06:00.000,50,35     ,2011-06-23 18:51:00.000,2011-06-23 19:10:00.000
I0A2H-0001,11D1237H01A              ,06 ,12.00000,2011-06-23 11:06:00.000,60,35     ,2011-06-23 19:10:00.000,2011-06-23 19:30:00.000
I0A2H-0001,11D1237H01A              ,06 ,12.00000,2011-06-23 11:06:00.000,70,35     ,2011-06-23 19:30:00.000,2011-06-23 19:43:00.000
I0A2H-0001,11D1237H01A              ,06 ,12.00000,2011-06-23 11:06:00.000,80,35     ,2011-06-23 19:43:00.000,2011-06-23 19:55:00.000
I09W1-0000,44X44SCRAPBIN            ,00 ,10.00000,2011-06-23 23:59:00.000,10,70     ,2011-06-13 14:04:00.000,2011-06-14 08:14:00.000
I09W1-0000,44X44SCRAPBIN            ,00 ,10.00000,2011-06-23 23:59:00.000,20,70     ,2011-06-14 14:00:00.000,2011-06-15 08:10:00.000
I09W1-0000,44X44SCRAPBIN            ,00 ,10.00000,2011-06-23 23:59:00.000,30,70     ,2011-06-13 13:23:00.000,2011-06-15 09:49:00.000
I09W1-0000,44X44SCRAPBIN            ,00 ,10.00000,2011-06-23 23:59:00.000,40,90     ,2011-06-15 10:19:00.000,2011-06-15 10:50:00.000
I09W1-0000,44X44SCRAPBIN            ,00 ,10.00000,2011-06-23 23:59:00.000,50,95     ,2011-06-23 07:46:00.000,2011-06-24 10:31:00.000
I09W1-0000,44X44SCRAPBIN            ,00 ,10.00000,2011-06-23 23:59:00.000,60,91     ,2011-06-27 11:01:00.000,2011-06-27 11:32:00.000
I0A6G-0000,CRCOM0558                ,1  ,60.00000,2011-06-24 10:54:00.000,10,145-CAT,2011-06-23 12:21:00.000,2011-06-23 13:27:00.000
I0A6G-0000,CRCOM0558                ,1  ,60.00000,2011-06-24 10:54:00.000,20,157-CAT,2011-06-23 13:57:00.000,2011-06-24 07:03:00.000
I0A6G-0000,CRCOM0558                ,1  ,60.00000,2011-06-24 10:54:00.000,30,157-CAT,2011-06-24 07:33:00.000,2011-06-24 08:19:00.000
I0A6G-0000,CRCOM0558                ,1  ,60.00000,2011-06-24 10:54:00.000,40,60-CAT ,2011-06-24 08:49:00.000,2011-06-24 09:19:00.000
I0A6G-0000,CRCOM0558                ,1  ,60.00000,2011-06-24 10:54:00.000,50,35-CAT ,2011-06-24 09:49:00.000,2011-06-24 10:55:00.000
I0A6G-0000,CRCOM0558                ,1  ,60.00000,2011-06-24 10:54:00.000,60,140-CAT,2011-06-24 11:25:00.000,2011-06-24 11:32:00.000
I0A6G-0000,CRCOM0558                ,1  ,60.00000,2011-06-24 10:54:00.000,70,SUBPREC,2011-06-24 13:32:00.000,2011-06-29 13:32:00.000
I0A6E-0000,AUX6006-01-ZY            ,0  ,60.00000,2011-06-24 12:24:00.000,10,70-CAT ,2011-06-23 07:10:00.000,2011-06-23 08:22:00.000
I0A6E-0000,AUX6006-01-ZY            ,0  ,60.00000,2011-06-24 12:24:00.000,20,60-CAT ,2011-06-23 08:52:00.000,2011-06-23 09:22:00.000
I0A6E-0000,AUX6006-01-ZY            ,0  ,60.00000,2011-06-24 12:24:00.000,30,140    ,2011-06-23 09:52:00.000,2011-06-23 10:23:00.000
I0A6E-0000,AUX6006-01-ZY            ,0  ,60.00000,2011-06-24 12:24:00.000,40,SUBPREC,2011-06-23 10:23:00.000,2011-06-28 10:23:00.000
I0A5D-0000,AG3999788                ,00 ,50.00000,2011-06-24 13:55:00.000,10,75     ,2011-06-23 15:21:00.000,2011-06-23 20:41:00.000
I0A5D-0000,AG3999788                ,00 ,50.00000,2011-06-24 13:55:00.000,20,90     ,2011-06-23 21:11:00.000,2011-06-23 21:42:00.000
I0A5D-0000,AG3999788                ,00 ,50.00000,2011-06-24 13:55:00.000,30,240    ,2011-06-24 07:00:00.000,2011-06-24 08:55:00.000
I0A5D-0000,AG3999788                ,00 ,50.00000,2011-06-24 13:55:00.000,40,96     ,2011-06-24 09:25:00.000,2011-06-24 09:54:00.000
I0A5E-0000,AG3999789                ,01 ,50.00000,2011-06-24 13:55:00.000,10,15     ,2011-06-22 10:38:00.000,2011-06-22 12:40:00.000
I0A5E-0000,AG3999789                ,01 ,50.00000,2011-06-24 13:55:00.000,20,35     ,2011-06-23 08:27:00.000,2011-06-23 09:16:00.000
I0A5E-0000,AG3999789                ,01 ,50.00000,2011-06-24 13:55:00.000,30,90     ,2011-06-23 09:46:00.000,2011-06-23 10:17:00.000
I0A5E-0000,AG3999789                ,01 ,50.00000,2011-06-24 13:55:00.000,40,96     ,2011-07-01 07:46:00.000,2011-07-01 08:18:00.000
I08X1-0000,408495828                ,   ,232.00000,2011-06-24 23:59:00.000,10,240-CAT,2011-06-23 11:49:00.000,2011-06-24 07:41:00.000
I09GJ-0000,MPAMTADM6050             ,B  ,1.00000,2011-06-24 23:59:00.000,10,75     ,2011-06-15 07:10:00.000,2011-06-15 07:27:00.000
I09GJ-0000,MPAMTADM6050             ,B  ,1.00000,2011-06-24 23:59:00.000,20,70     ,2011-06-15 07:57:00.000,2011-06-15 08:22:00.000
I09GJ-0000,MPAMTADM6050             ,B  ,1.00000,2011-06-24 23:59:00.000,30,60     ,2011-06-15 08:52:00.000,2011-06-15 09:19:00.000
